permission_id,permission_category,permission_description,permission (as in AndroidManifest.xml),,Number of apps requested,Privilegged app only?,details,Decision,Investigation result
30,Other,SmartcardServicePermission label,org.simalliance.openmobileapi.SMARTCARD,,102,,"Enables Android applications to communicate with Secure Elements, e.g. SIM card, embedded Secure Elements, Mobile Security Card or others.","Checked and found not needed by apps which are tied with phone number, e.g., WhatsApp and WeChat
Need explanation","Apps provided by Telco? The SmartCard API adds the necessary modules and API’s to the Android platform. It offers flexible access to secure elements, allowing a secure application solution to make use of any secure form factor, such as a USIM card, a secure µSD card, an embedded secure element, …
(http://seek-for-android.github.io/)"
31,Other,read battery statistics,android.permission.BATTERY_STATS,,630,Yes,Allows an application to read the current low-level battery use data. May allow the application to find out detailed information about which apps you use.,Need explanation,"Specify battery; Protection level: signature|privileged|development
A permission that the system grants only if the requesting application is signed with the same certificate as the application that declared the permission. If the certificates match, the system automatically grants the permission without notifying the user or asking for the user's explicit approval.
"
32,Other,draw over other apps,android.permission.SYSTEM_ALERT_WINDOW,,23800,,"Allows the app to draw on top of other applications or parts of the user interface. They may interfere with your use of the interface in any application, or change what you think you are seeing in other applications.",Apps for emergency alerts; others need explanation,"An app that generates alarms generally requires the android.permission.SYSTEM_ALERT_WINDOW permission. This permission allows the app to display system-level alerts, overlays, or windows on top of other apps or the home screen. 

When an app is designed to lock other apps, it typically uses a screen overlay or a floating window to prevent access to certain apps until the user provides the necessary authentication or unlock method. The SYSTEM_ALERT_WINDOW permission enables the app to create and display these overlays on top of other apps, effectively locking them from user interaction.

(both from ChatGPT)"
33,Other,modify system settings,android.permission.WRITE_SETTINGS,,9642,Yes,Allows the app to modify the system's settings data. Malicious apps may corrupt your system's configuration.,Need explanation,"Wallpaper; cleaner; Protection level: signature|preinstalled|appop|pre23
A permission that the system grants only if the requesting application is signed with the same certificate as the application that declared the permission. If the certificates match, the system automatically grants the permission without notifying the user or asking for the user's explicit approval."
34,Other,send sticky broadcast,android.permission.BROADCAST_STICKY,,3112,,"Allows the app to send sticky broadcasts, which remain after the broadcast ends. Excessive use may make the phone slow or unstable by causing it to use too much memory.","need explanation - notification, message, streaming","A sticky broadcast lives for the life of the phone, but for what functions? Android apps and the Android system can use broadcasts as a messaging system to notify other apps of events that they might be interested in. Sticky broadcasts are a special type of broadcast for which the sent intent object(s) remains in the cache after the broadcast is complete. The system may re-broadcast sticky intents to later registrations of receivers
(ref:https://developer.android.com/topic/security/risks/sticky-broadcast)
For example, a music player app might send a sticky broadcast when the current song changes, allowing other apps or widgets to update their information accordingly. - But not for video / streaming. Reason - music player can be in background mode, but very unlikely for video player / streaming player.

An app that creates notifications does NOT require the android.permission.BROADCAST_STICKY permission."
35,Other,allow Wi-Fi Multicast reception,android.permission.CHANGE_WIFI_MULTICAST_STATE,,6350,,"Allows the app to receive packets sent to all devices on a Wi-Fi network using multicast addresses, not just your phone. It uses more power than the non-multicast mode.","need explanation - e.g., network device discovery, streaming","One possible use is network device discovery - for remote control, connection (IoT, home automation), streaming
WifiManager.MulticastLock when acquired, would modify the state of Wifi interface on the device (gobally), to allow all apps to receive multicast traffic. your app will need CHANGE_WIFI_MULTICAST_STATE permission if your app wants to acquire this lock.
(https://stackoverflow.com/questions/30648334/is-change-wifi-multicast-state-permission-and-use-of-wifimanager-multicastlock-r)
(ref:https://lishiwen4.github.io/wifi/android-wifi-multicast)"
36,Other,change system display settings,android.permission.CHANGE_CONFIGURATION,,1536,Yes,"Allows the app to change the current configuration, such as the locale or overall font size.",need explanation - change display,"Protection level: signature|privileged|development
Features only needed for app developers. (ref:http://androidpermissions.com/permission/android.permission.CHANGE_CONFIGURATION)
Giving app developers of the ability to test locale-specific behavior
""Helper"" app also? - helping user to configure their phone
This app need this permission to change language.
(ref:https://blog.sightidea.com/?p=126)"
37,Location,precise location (GPS and network-based),android.permission.ACCESS_FINE_LOCATION,,61248,,"Allows the app to get your precise location using the Global Positioning System (GPS) or network location sources such as cell towers and Wi-Fi. These location services must be turned on and available to your device for the app to use them. Apps may use this to determine where you are, and may consume additional battery power.","Need explanation - need to specify clearly ""location"", ""nearby""",
38,Contacts,find accounts on the device,android.permission.GET_ACCOUNTS,,16073,,Allows the app to get the list of accounts known by the phone. This may include any accounts created by applications you have installed.,"All ok with reasonable description (Check 16)  - *** the description should be about the app, not the company itself","Beginning with Android 6.0 (API level 23), if an app shares the signature of the authenticator that manages an account, it does not need ""GET_ACCOUNTS"" permission to read information about that account. On Android 5.1 and lower, all apps need ""GET_ACCOUNTS"" permission to read information about any account. (ref:https://developer.android.com/reference/android/Manifest.permission#GET_ACCOUNTS)
Refer to permission 16 "
39,Identity,find accounts on the device,android.permission.GET_ACCOUNTS,,16073,,Allows the app to get the list of accounts known by the phone. This may include any accounts created by applications you have installed.,"All ok with reasonable description (Check 16)  - *** the description should be about the app, not the company itself","(ref:https://android.stackexchange.com/questions/44293/what-does-permission-manage-accounts-mean)
A suggested way to manage login/credentials (https://developer.android.com/training/id-auth/identify)
Refer to permission 16 "
40,Other,download files without notification,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,,5192,,Allows the app to download files through the download manager without any notification being shown to the user.,Streaming and gaming; others -  need explanation - download multiple files in short period of time,"Need to mention automatic update (and need this permission to reduce disturbance to user)? 
This permission is typically used by apps that need to download large files, such as games or videos.
This can be useful for apps that need to download files quickly, or for apps that need to download files when the user is not actively using the app.
https://www.zhihu.com/question/27740181
Control whether a system notification is posted by the download manager while this download is running or when it is completed. If enabled, the download manager posts notifications about downloads through the system NotificationManager. By default, a notification is shown only when the download is in progress.
If set to VISIBILITY_HIDDEN, this requires the permission android.permission.DOWNLOAD_WITHOUT_NOTIFICATION.
(https://developer.android.com/reference/android/app/DownloadManager.Request)"
41,Other,act as the AccountManagerService,android.permission.ACCOUNT_MANAGER,,120,Yes,Allows the app to make calls to AccountAuthenticators.,Need explanation - manage account,"Not for use by third-party applications; only granted if it is an app for the phone manufacturer and is clearly explained
Refer to permission 16"
42,Device & app history,read sensitive log data,android.permission.READ_LOGS,,2670,Yes,"Allows the app to read from the system\'s various log files. This allows it to discover general information about what you are doing with the phone, potentially including personal or private information.",Need explanation - read logs,"Not for use by third-party applications
Security app, anti-virus-like, intrusion detection, device setting"
43,Other,read Home settings and shortcuts,com.android.launcher.permission.READ_SETTINGS,,922,,Allows the app to read the settings and shortcuts in Home.,"Need explanation, for cleaner etc.",Cleaner; anti-virus-like apps
44,Other,install shortcuts,com.android.launcher.permission.INSTALL_SHORTCUT,,4462,,Allows an app to add shortcuts without user intervention.,Need explanation,"ShortcutManager executes operations on an app's set of shortcuts, which represent specific tasks and actions that users can perform within your app.
(ref:https://developer.android.com/reference/android/content/pm/ShortcutManager)"
45,Contacts,read your contacts,android.permission.READ_CONTACTS,,18030,,"Allows the app to read data about your contacts stored on your phone, including the frequency with which you\'ve called, emailed, or communicated in other ways with specific individuals. This permission allows apps to save your contact data, and malicious apps may share contact data without your knowledge.","Need to specify ""contact list""",
46,Other,modify battery statistics,android.permission.UPDATE_DEVICE_STATS,,80,Yes,Allows the app to modify collected battery statistics. Not for use by normal apps.,Need explanation - battery,"Not for use by third-party applications.
Apps for privacy enhancement"
47,Photos/Media/Files,access USB storage filesystem,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,,2810,Yes,Allows the app to mount and unmount filesystems for removable storage.,Need explanation,"Not for use by third-party applications; ignored for 3rd party apps; only granted if it is an app for the phone manufacturer and is clearly explained
Notice that MOUNT_UNMOUNT_FILESYSTEM permission is ignored for 3rd party apps, so (unless you work for e.g. Samsung or Xiaomi) you can safely delete this permission from your manifest.
(https://stackoverflow.com/questions/54694818/where-can-i-find-more-info-about-android-specific-permissions)"
48,Other,set an alarm,com.android.alarm.permission.SET_ALARM,,3628,,Allows the app to set an alarm in an installed alarm clock app. Some alarm clock apps may not implement this feature.,"Need explanation - calendar-like, virtual personal assistant",
49,Other,reorder running apps,android.permission.REORDER_TASKS,,3151,,Allows the app to move tasks to the foreground and background. The app may do this without your input.,Need explanation,"For task management, need explanation
MoveTaskToFront will require this permission 
(ref:https://learn.microsoft.com/en-us/dotnet/api/android.app.activitymanager.movetasktofront?view=xamarin-android-sdk-13)"
50,Other,permission to install a location provider,android.permission.INSTALL_LOCATION_PROVIDER,,31,Yes,Create mock location sources for testing or install a new location provider. This allows the app to override the location and/or status returned by other location sources such as GPS or location providers.,Need explanation - location,"Not for use by third-party applications.
VPN; privacy enhancement"
51,Other,change screen orientation,android.permission.SET_ORIENTATION,,117,Yes,Allows the app to change the rotation of the screen at any time. Should never be needed for normal apps.,Need explanation - orientation,"Needs explanation, not necessary for normal apps - they can set orientation without this permission
Some device configurations can change while the app is running. These include, but aren't limited to:
App display size
Screen orientation
Font size and weight
Locale
Dark mode versus light mode
Keyboard availability
The user of an app expects state to be preserved. If a user is filling out a form and opens another app in multi-window mode to reference information, it is a bad user experience if they return to a cleared form or to somewhere else in the app entirely. As a developer, you must provide a consistent user experience through configuration changes and activity recreation.
To verify whether state is preserved in your application, you can perform actions that cause configuration changes both while the app is in the foreground and while it is in the background. These actions include:
Rotating the device
(ref:https://developer.android.com/guide/topics/resources/runtime-changes)"
52,Other,control Near Field Communication,android.permission.NFC,,4175,,"Allows the app to communicate with Near Field Communication (NFC) tags, cards, and readers.","Need explanation - specify ""NFC""",
53,Other,Modify Google service configuration,com.google.android.providers.gsf.permission.WRITE_GSERVICES,,147,,Allow the app to access the Google Services Framework database and write data,Google / android / manufacturer - providing a Google service; others need explanation,"Similar to 26, this permission allows update of Google services available on a device, and is ""protected by the system protection level (meaning, it's only granted to ""system apps"")""
Only allowed to system / Google apps
For Google Services Framework to write the data,it is responsible for communicate between device and google serivce "
54,Other,expand/collapse status bar,android.permission.EXPAND_STATUS_BAR,,1185,,Allows the app to expand or collapse the status bar.,Need explanation - use or control the status bar,"Prompt user to change settings in the status bar? Provide information when running in background?
Hidden the application and display it as a icon
(ref:https://www.jianshu.com/p/baeed5eff82a)
""??????????????????Allows an application to open, close, or disable the status bar and its icons."""
55,Other,read the contents of your USB storage,android.permission.READ_EXTERNAL_STORAGE,,109,,Allows the app to test a permission for the SD card that will be available on future devices.,"All ok with reasonable description  - *** the description should be about the app, not the company itself","On devices that run Android 10 or higher, you don't need storage-related permissions to access and modify media files that your app owns; but needed for devices that run Android 9 (API level 28) or lower (ref:https://developer.android.com/training/data-storage/shared/media#storage-permission). Allow if an app needs to read / write anything then (for backward-compatibility).
Refer to permission 3  -6 "
56,Other,modify or delete the contents of your USB storage,android.permission.WRITE_EXTERNAL_STORAGE,,63,,Allows the app to write to the SD card.,"All ok with reasonable description - *** the description should be about the app, not the company itself","On devices that run Android 10 or higher, you don't need storage-related permissions to access and modify media files that your app owns; but needed for devices that run Android 9 (API level 28) or lower (ref:https://developer.android.com/training/data-storage/shared/media#storage-permission). Allow if an app needs to read / write anything then (for backward-compatibility).
Refer to permission 3  -6 "
57,Other,control flashlight,android.permission.FLASHLIGHT,,9271,,Allows the app to control the flashlight.,"Need explanation - specify ""flashlight"", ""camera""",
58,Other,adjust your wallpaper size,android.permission.SET_WALLPAPER_HINTS,,2099,,Allows the app to set the system wallpaper size hints.,"Need explanation - specify ""wallpaper""",
59,Other,set wallpaper,android.permission.SET_WALLPAPER,,6390,,Allows the app to set the system wallpaper.,"Need explanation - specify ""wallpaper""",
60,Other,delete other apps' caches,android.permission.DELETE_CACHE_FILES,,174,Yes,Allows the app to delete cache files.,Cleaner; others - need explanation,"Protection level: signature|privileged
Cleaner? - to free up storage space"
61,Other,uninstall shortcuts,com.android.launcher.permission.UNINSTALL_SHORTCUT,,1238,,Allows the app to remove shortcuts without user intervention.,Need explanation,"""This permission is no longer supported."" (ref:https://developer.android.com/reference/android/Manifest.permission#UNINSTALL_SHORTCUT)
Can remove others' shortcut too, so for privacy / security / system apps
(ref:https://stackoverflow.com/questions/3480287/trying-to-uninstall-shortcut-but-shortcut-wont-go-away)"
62,Other,create accounts and set passwords,android.permission.AUTHENTICATE_ACCOUNTS,,3288,,"Allows the app to use the account authenticator capabilities of the AccountManager, including creating accounts and getting and setting their passwords.","All ok with reasonable description (Check 16, 38, 39)","(ref:https://android.stackexchange.com/questions/44293/what-does-permission-manage-accounts-mean)
A suggested way to manage login/credentials (https://developer.android.com/training/id-auth/identify)
Related to Account Manager.Ususally requireed before Andriod 22
(https://developer.android.com/reference/android/accounts/AccountManager)"
63,Other,full license to interact across users,android.permission.INTERACT_ACROSS_USERS_FULL,,525,Yes,Allows all possible interactions across users.,Need explanation - interact across users,"Interaction across users on the same device; probably needs explanation
Class for handling cross profile operations. Apps can use this class to interact with its instance in any profile that is in getTargetUserProfiles(). For example, app can use this class to start its main activity in managed profile.
android.Manifest.permission#INTERACT_ACROSS_USERS_FULL permission. Both the caller and target user profiles must be in the same profile group. The target user must be a valid user returned from getTargetUserProfiles().
(ref:https://developer.android.com/reference/android/content/pm/CrossProfileApps)"
64,Other,measure app storage space,android.permission.GET_PACKAGE_SIZE,,821,,"Allows the app to retrieve its code, data, and cache sizes","OK for cleaner, file manager, backup / restore
Others: need explanation","Allows an application to find out the space used by any package. (https://developer.android.com/reference/android/Manifest.permission#GET_PACKAGE_SIZE) - not only its own but also others 
- useful to cleaner and file manager (what about anti-virus-like apps?), backup and restore"
65,Other,run the application's scheduled background work,android.permission.BIND_JOB_SERVICE,,114,Yes,Allows the Android system to run the application in the background when requested.,"All ok with reasonable description  - *** the description should be about the app, not the company itself",
66,Cellular data settings,change/intercept network settings and traffic,android.permission.WRITE_APN_SETTINGS,,126,Yes,"Allows the app to change network settings and to intercept and inspect all network traffic, for example to change the proxy and port of any APN. Malicious apps may monitor, redirect, or modify network packets without your knowledge.",Android / Google / Manufacturer - setting / backup / recovery,"Not for use by third-party applications.
Need explanation, probably apps by Telco, backup/recovery apps, anti-virus-like apps"
67,Other,directly install apps,android.permission.INSTALL_PACKAGES,,239,Yes,Allows the app to install new or updated Android packages. Malicious apps may use this to add new apps with arbitrarily powerful permissions.,Play store / manufacturer's file manager; check description for explanation,"Not for use by third-party applications.
Need explanation"
68,Other,power device on or off,android.permission.DEVICE_POWER,,277,Yes,Allows the app to turn the phone on or off.,Need explanation - alarm (to power on),
69,Other,send package removed broadcast,android.permission.BROADCAST_PACKAGE_REMOVED,,30,Yes,Allows the app to broadcast a notification that an app package has been removed. Malicious apps may use this to kill any other running app.,Need explanation,"Not for use by third-party applications.
Cleaner and Anti-virus-like apps?"
70,Location,access extra location provider commands,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,,2365,,Allows the app to access extra location provider commands. This may allow the app to to interfere with the operation of the GPS or other location sources.,Privacy / VPN - location-specific; or with explanation,
71,Other,retrieve details of running apps,android.permission.GET_DETAILED_TASKS,,23,Yes,Allows the app to retrieve detailed information about currently and recently running tasks. Malicious apps may discover private information about other apps.,"System, cleaner and Anti-virus-like apps - with explanation",
72,Wearable sensors/Activity data,body sensors (like heart rate monitors),android.permission.BODY_SENSORS,,1331,,"Allows an application to access data from sensors that the user uses to measure what is happening inside their body, such as heart rate.",Need explanation,
73,Other,interact across users,android.permission.INTERACT_ACROSS_USERS,,263,Yes,Allows the app to perform actions across different users on the device. Malicious apps may use this to violate the protection between users.,Check 63,"Interaction across users on the same device; probably needs explanation
Communicate with components in your own app: (INTERACT_ACROSS_USERS) Or with components in other apps: (INTERACT_ACROSS_USERS_FULL)
(ref:https://source.android.com/docs/devices/admin/multiuser-apps)"
74,Other,read terms you added to the dictionary,android.permission.READ_USER_DICTIONARY,,310,,"Allows the app to read all words, names and phrases that the user may have stored in the user dictionary.","Virtual personal assistant, input methods; or with explanation",
75,Other,update component usage statistics,android.permission.PACKAGE_USAGE_STATS,,1670,Yes,Allows the app to modify collected component usage statistics. Not for use by normal apps.,Need explanation - update statistics,"Protection level: signature|privileged|development|appop|retailDemo
Privacy; security
Provides access to device usage history and statistics. Usage data is aggregated into time intervals: days, weeks, months, and years.
Most methods on this API require the permission android.permission.PACKAGE_USAGE_STATS.
https://developer.android.com/reference/android/app/usage/UsageStatsManager"
76,Identity,read your own contact card,android.permission.READ_PROFILE,,1661,,"Allows the app to read personal profile information stored on your device, such as your name and contact information. This means the app can identify you and may send your profile information to others.",Need explanation - e.g. social media,"In-app login using Gmail does not require the android.permission.READ_PROFILE permission.

The READ_PROFILE permission is typically used to access a user's profile information, such as their name, email address, or profile picture. However, when implementing in-app login using Gmail, the required permissions are related to authentication and accessing user account information.

To implement Gmail login in an app, you would typically use the Google Sign-In API, which requires the com.google.android.gms.auth.api.signin package and appropriate authentication scopes. The specific permissions required for Gmail login are related to accessing the user's email address and basic profile information, such as android.permission.GET_ACCOUNTS and android.permission.GET_PROFILE.


In-app purchases with Google Pay do not require the android.permission.READ_PROFILE permission.

The READ_PROFILE permission is typically used to access a user's profile information, such as their name, email address, or profile picture. It is not directly related to in-app purchases or payment processing.

When integrating Google Pay for in-app purchases, the relevant permissions are related to payment processing and are typically managed through the Google Play Billing Library. These permissions include com.android.vending.BILLING or com.android.vending.IN_APP_PURCHASE_BILLING.

***
com.android.vending.BILLING is no longer necessary for in-app purchases. The new Google Play Billing Library provides a unified API for in-app purchases on both Android and iOS."
